,StationName,23,24,25,26,27,28,29
83,EUCLID AV,2087.0,1581.0,3875.0,3696.0,3868.0,3779.0,3688.0
84,BLEECKER ST,2030.0,1503.0,4930.0,5393.0,5331.0,5272.0,5035.0
85,72 ST,1979.0,2100.0,3712.0,3960.0,4185.0,4231.0,4036.0
86,BAY RIDGE AV,1946.0,1448.0,3441.0,3495.0,3407.0,3557.0,3323.0
87,4AV-9 ST,1939.0,1537.0,4782.0,4867.0,5005.0,4980.0,4757.0
88,45 ST,1914.0,,3111.0,3201.0,3246.0,3299.0,3111.0
89,ROOSEVELT ISLND,1903.0,1643.0,3955.0,4122.0,4211.0,4108.0,4005.0
90,170 ST,1892.0,1319.0,3057.0,3161.0,3104.0,3091.0,2969.0
91,5 AVE,1775.0,1185.0,6624.0,7201.0,7126.0,7130.0,6488.0
92,GRAHAM AV,1742.0,1476.0,5022.0,5274.0,5236.0,5320.0,4914.0
93,67 AV,1737.0,1512.0,4204.0,4421.0,4391.0,4403.0,4258.0
94,DYCKMAN ST,1726.0,1296.0,2556.0,2636.0,2567.0,2667.0,2687.0
95,CARROLL ST,1694.0,1505.0,5716.0,5845.0,5721.0,5829.0,5480.0
96,231 ST,1676.0,1306.0,3150.0,3307.0,3222.0,3297.0,3080.0
97,PARSONS BLVD,1663.0,1221.0,3170.0,3056.0,2976.0,3232.0,2966.0
98,40 ST LOWERY ST,1653.0,1327.0,5062.0,5352.0,5151.0,5308.0,5135.0
99,MORISN AV/SNDVW,1632.0,1222.0,2461.0,2245.0,2441.0,2444.0,2333.0
100,SUTTER AV-RUTLD,1611.0,1216.0,3089.0,3062.0,2882.0,2944.0,2989.0
101,169 ST,1572.0,1277.0,3466.0,3589.0,3509.0,3670.0,3370.0
102,207 ST,1563.0,1193.0,2120.0,2305.0,2150.0,,
103,HOYT ST,1562.0,1460.0,3732.0,3827.0,3823.0,3919.0,3620.0
104,79 ST,1550.0,1364.0,2850.0,2807.0,2699.0,2841.0,2730.0
105,CASTLE HILL AV,1544.0,1221.0,2170.0,2588.0,2691.0,2607.0,2662.0
106,OZONE PK LEFFRT,1525.0,1140.0,2662.0,2696.0,2668.0,2607.0,2582.0
107,BOWERY,1518.0,1240.0,1593.0,1583.0,1499.0,1590.0,1563.0
108,71 ST,1517.0,1362.0,2473.0,2533.0,2520.0,2422.0,2308.0
109,96 ST,1499.0,1414.0,4487.0,4717.0,4648.0,4711.0,4609.0
110,UNION ST,1472.0,1243.0,3667.0,3831.0,3993.0,3951.0,3787.0
111,GRANT AV,1438.0,1075.0,2600.0,2511.0,2553.0,2559.0,2395.0
112,CORTELYOU RD,1438.0,1287.0,2721.0,2844.0,2816.0,2876.0,2719.0
113,HALSEY ST,1418.0,1332.0,3137.0,3112.0,3326.0,3375.0,3222.0
114,MONTROSE AV,1384.0,1109.0,3110.0,3240.0,3173.0,3152.0,3014.0
115,18 AV,1375.0,1322.0,3943.0,4052.0,4015.0,4077.0,3874.0
116,SMITH-9 ST,1344.0,837.0,2593.0,2608.0,2698.0,2727.0,2538.0
117,183 ST,1327.0,1002.0,1842.0,1925.0,1954.0,2039.0,1897.0
118,V.CORTLANDT PK,1325.0,1079.0,2462.0,2515.0,2423.0,2418.0,2366.0
119,74 ST-BROADWAY,1303.0,1060.0,1427.0,1412.0,1305.0,1312.0,1352.0
120,EASTN PKWY-MUSM,1289.0,890.0,2376.0,2459.0,2536.0,2676.0,2568.0
121,ROCKAWAY AV,1265.0,872.0,2344.0,2434.0,2347.0,2347.0,2272.0
122,176 ST,1262.0,846.0,2120.0,2204.0,2029.0,2058.0,2127.0
123,PELHAM BAY PARK,1246.0,1020.0,2639.0,2615.0,2475.0,2638.0,2483.0
124,NEW LOTS AV,1228.0,950.0,2361.0,2518.0,2306.0,2371.0,2246.0
125,STERLING ST,1225.0,1048.0,2941.0,3029.0,3015.0,3053.0,2894.0
126,BAY RIDGE-95 ST,1222.0,1076.0,2500.0,2631.0,2615.0,2613.0,2339.0
127,PROSPECT AV,1201.0,903.0,3269.0,3472.0,3465.0,3408.0,3210.0
128,GRAND ARMY PLAZ,1196.0,874.0,3580.0,3669.0,3564.0,3642.0,3275.0
129,3 AV,1165.0,925.0,2713.0,2895.0,2921.0,2757.0,2720.0
130,SARATOGA AV,1165.0,799.0,2372.0,2262.0,2329.0,2292.0,2157.0
131,20 AV,1164.0,1030.0,1875.0,1947.0,1916.0,1898.0,1843.0
132,AVENUE J,1159.0,1236.0,2665.0,2752.0,2588.0,2700.0,1825.0
133,33 ST-RAWSON ST,1157.0,573.0,5617.0,6057.0,5658.0,5984.0,4916.0
134,JEFFERSON ST,1139.0,1047.0,2635.0,2716.0,2710.0,2662.0,2570.0
135,WESTCHESTER SQ,1139.0,825.0,2667.0,2684.0,2780.0,2613.0,2860.0
136,LEXINGTON AV/53,1131.0,1579.0,29022.0,30504.0,30246.0,30169.0,27964.0
137,MORGAN AV,1129.0,1127.0,2786.0,3213.0,3084.0,3110.0,2909.0
138,CLASSON AV,1117.0,907.0,2835.0,3018.0,2982.0,2978.0,2851.0
139,174-175 STS,1115.0,777.0,1945.0,1942.0,1995.0,1966.0,1934.0
140,CLARK ST,1108.0,1051.0,2386.0,2492.0,2501.0,2762.0,2301.0
141,182-183 STS,1100.0,778.0,1651.0,1635.0,1662.0,1649.0,1555.0
142,BEDFORD PK BLVD,1094.0,875.0,1691.0,1842.0,1798.0,2029.0,2437.0
